EmployeeID,StartDate,DOB,Age,YearsAtCompany,TrainingDate,SurveyDate,Department,JobRole,Attrition,BusinessTravel,Overtime,Gender,MaritalStatus,EducationField,PerformanceRating,MonthlyIncome,NumCompaniesWorked,DistanceFromHome,TrainingProgram,TrainingType,TrainingOutcome,TrainingCost,EngagementScore,SatisfactionScore,WorkLifeBalanceScore
EMP0011,02-Sep-15,14-Oct-82,44,10,25-Apr-24,15-Jan-26,Sales,Sales Executive,No,Rarely,Yes,Female,Single,Other,3,70473,2,13,Technical Skills,External,Failed,720.92,3,3,3
EMP0012,06-Feb-17,26-Nov-87,39,9,25-Jan-22,05-Dec-24,Human Resources,Healthcare Representative,No,Frequently,No,Female,Single,Life Sciences,3,96337,7,6,Project Management,Internal,Passed,588.77,4,1,5
EMP0013,27-Nov-19,22-Feb-01,25,6,04-Sep-22,27-Mar-25,Research & Development,Research Scientist,No,Rarely,No,Female,Married,Other,4,76981,7,8,Technical Skills,Internal,Passed,609.3,2,4,3
EMP0014,20-Mar-20,12-Jul-64,62,6,04-Aug-20,31-Oct-25,Sales,Sales Manager,No,Rarely,Yes,Female,Single,Other,4,68513,2,14,Technical Skills,Internal,Failed,195.19,3,2,4
EMP0015,02-May-26,22-Dec-72,54,0,14-May-26,21-Sep-24,Sales,Area Sales Manager,No,Rarely,No,Male,Divorced,Other,4,45630,3,3,Customer Service,Internal,Incomplete,492.35,3,5,4
EMP0016,06-Aug-15,05-Jan-94,32,10,05-Oct-20,22-Aug-24,Sales,Area Sales Manager,No,Rarely,No,Male,Single,Medical,5,37364,1,16,Technical Skills,External,Passed,177.91,3,4,5
EMP0017,17-Jun-19,26-Nov-66,60,6,05-Jul-20,23-Feb-26,Sales,Sales Manager,No,Rarely,No,Male,Married,Technical Degree,4,80401,5,18,Communication Skills,External,Failed,377.08,3,5,4
EMP0018,29-May-24,05-Jan-76,50,2,13-Nov-25,16-Mar-25,Research & Development,Research Director,No,Rarely,No,Female,Married,Human Resources,3,95122,5,24,Communication Skills,Internal,Passed,910.28,3,5,4
EMP0019,11-Dec-19,25-Apr-00,26,6,12-Apr-22,19-Sep-25,Research & Development,Manufacturing Director,No,Rarely,No,Male,Married,Other,5,56223,3,17,Customer Service,Internal,Passed,617.08,5,5,1
EMP0020,27-Jan-25,12-Jun-63,63,1,26-Sep-25,26-Feb-26,Sales,Sales Manager,No,Rarely,No,Female,Married,Life Sciences,3,42218,7,18,Project Management,Internal,Incomplete,768.43,2,2,4
EMP0021,28-Mar-21,02-Oct-80,46,5,02-Jun-23,07-May-26,Research & Development,Laboratory Technician,Yes,Rarely,Yes,Female,Single,Human Resources,2,30000,5,10,Project Management,External,Completed,616.5,4,5,3
EMP0022,23-Feb-15,22-Mar-66,60,11,22-Feb-22,29-Mar-26,Sales,Sales Executive,No,Travel,Yes,Male,Single,Medical,2,45384,4,17,Customer Service,Internal,Passed,274.81,4,4,5
EMP0023,31-Jul-18,12-Jun-76,50,7,15-Mar-22,31-Mar-26,Sales,Sales Executive,No,Rarely,No,Male,Single,Life Sciences,4,62726,2,16,Project Management,Internal,Failed,635.33,3,4,5
EMP0024,24-Jun-24,19-Feb-76,50,1,03-Dec-24,03-Nov-24,Research & Development,Manufacturing Director,No,Frequently,No,Female,Married,Marketing,2,96982,5,21,Leadership Development,External,Passed,779.85,4,2,3
EMP0025,19-Aug-22,12-Sep-96,30,3,27-Feb-26,28-Sep-25,Research & Development,Research Director,No,Rarely,No,Male,Married,Human Resources,2,78462,6,24,Communication Skills,Internal,Completed,224.56,5,2,3
EMP0026,26-Mar-21,21-Jun-79,47,5,25-Apr-25,12-Mar-25,Research & Development,Research Director,No,Travel,Yes,Female,Married,Marketing,3,71101,6,2,Leadership Development,External,Passed,835.22,3,5,4
EMP0027,27-Jun-18,04-Apr-87,39,7,16-Dec-18,23-May-26,Sales,Sales Representative,No,Frequently,Yes,Male,Married,Technical Degree,3,56997,7,20,Leadership Development,Internal,Completed,599.85,5,3,4
EMP0028,30-Oct-19,06-Dec-03,23,6,28-Dec-25,18-Jan-25,Research & Development,Research Scientist,No,Rarely,No,Male,Married,Other,4,53336,7,4,Leadership Development,Internal,Failed,103.85,1,2,4
EMP0029,20-Jul-22,13-Sep-73,53,3,20-Jun-25,10-Jan-26,Research & Development,Research Director,No,Rarely,No,Male,Married,Marketing,5,93112,4,11,Customer Service,External,Passed,567.8,4,3,5
EMP0030,17-Apr-17,09-Feb-69,57,9,30-Aug-18,12-Aug-24,Sales,Sales Manager,Yes,Travel,Yes,Female,Single,Technical Degree,4,69014,2,27,Leadership Development,Internal,Incomplete,456.1,3,5,5
EMP0031,29-Jan-17,15-Dec-88,38,9,02-Dec-19,25-Aug-24,Research & Development,Research Director,No,Rarely,No,Female,Single,Marketing,3,30000,4,7,Technical Skills,Internal,Incomplete,366.8,3,4,4
EMP0032,10-Jul-23,10-Oct-91,35,2,21-Mar-26,11-Jun-26,Sales,Area Sales Manager,No,Rarely,No,Male,Widowed,Marketing,3,51529,2,17,Project Management,Internal,Passed,794.13,4,5,3
EMP0033,03-Mar-17,04-Apr-73,53,9,30-Apr-24,04-May-26,Sales,Sales Manager,No,Rarely,Yes,Male,Divorced,Technical Degree,5,47835,2,25,Customer Service,External,Completed,909.55,3,3,4
EMP0034,19-Jan-23,15-Feb-96,30,3,21-Sep-24,31-Jul-24,Human Resources,HR Manager,Yes,Frequently,No,Female,Single,Other,1,54074,7,19,Technical Skills,Internal,Completed,786.39,3,3,5
EMP0035,18-Sep-22,15-Dec-93,33,3,29-Oct-23,08-May-25,Human Resources,Healthcare Representative,No,Frequently,No,Male,Married,Technical Degree,5,76258,5,6,Technical Skills,External,Completed,862.1,3,4,4
EMP0036,06-Dec-20,28-Nov-99,27,5,14-Dec-22,12-Sep-25,Research & Development,Research Director,No,Rarely,No,Male,Divorced,Human Resources,3,62851,6,10,Communication Skills,External,Incomplete,917.9,4,4,4
EMP0037,22-Dec-15,12-Nov-84,42,10,04-Dec-25,07-Jan-26,Sales,Sales Representative,No,Rarely,No,Male,Married,Life Sciences,5,63462,3,21,Communication Skills,External,Failed,921.37,4,3,1
EMP0038,21-Apr-25,18-Sep-00,26,1,17-May-25,25-Jun-24,Sales,Area Sales Manager,No,Rarely,Yes,Male,Single,Medical,3,91269,5,4,Technical Skills,External,Completed,203.17,3,3,5
EMP0039,19-Oct-17,28-May-86,40,8,10-Apr-25,09-Jul-25,Research & Development,Research Director,No,Rarely,Yes,Male,Single,Technical Degree,4,51070,7,25,Communication Skills,Internal,Completed,510.75,2,3,4
EMP0040,28-Jun-23,23-Dec-94,32,2,16-Sep-24,07-May-25,Research & Development,Research Director,No,Travel,No,Male,Married,Life Sciences,4,102283,1,27,Project Management,Internal,Failed,100.26,4,3,3
EMP0041,07-Oct-16,26-Mar-64,62,9,12-Jan-18,31-Oct-24,Sales,Sales Manager,No,Rarely,No,Male,Widowed,Medical,4,51573,4,28,Project Management,Internal,Failed,555.82,4,4,3
EMP0042,29-Jul-21,08-Sep-81,45,4,24-Nov-22,08-Jun-26,Research & Development,Manufacturing Director,No,Rarely,Yes,Female,Married,Technical Degree,3,66783,7,25,Communication Skills,Internal,Passed,931.82,2,3,2
EMP0043,10-Feb-23,26-Apr-97,29,3,18-Jul-25,31-Dec-24,Sales,Sales Representative,No,Rarely,Yes,Female,Single,Life Sciences,4,59375,1,1,Leadership Development,Internal,Completed,279.19,3,1,5
EMP0044,25-Apr-19,26-Apr-96,30,7,14-Dec-22,17-Jun-24,Human Resources,HR Manager,No,Frequently,Yes,Female,Single,Medical,4,67468,2,7,Technical Skills,Internal,Completed,675.81,2,2,4
EMP0045,23-Jul-16,12-Jan-73,53,9,22-Sep-16,25-Jan-25,Sales,Sales Executive,Yes,Rarely,No,Male,Married,Technical Degree,1,73891,7,26,Project Management,External,Failed,679.94,5,3,4
EMP0046,11-Jan-16,12-Oct-69,57,10,26-Nov-17,07-Feb-25,Research & Development,Research Director,Yes,Rarely,Yes,Female,Divorced,Technical Degree,1,73676,5,25,Communication Skills,External,Failed,244.32,4,5,2
EMP0047,10-Feb-20,05-Sep-75,51,6,16-Mar-23,22-Mar-25,Sales,Sales Executive,No,Rarely,No,Male,Married,Other,4,49937,1,21,Communication Skills,Internal,Passed,314.67,1,3,3
EMP0048,28-Jun-21,03-Feb-65,61,4,07-Oct-24,24-Apr-25,Research & Development,Laboratory Technician,Yes,Rarely,Yes,Female,Married,Technical Degree,2,42541,1,16,Project Management,Internal,Passed,515.82,5,1,4
EMP0049,15-Oct-16,23-Jul-85,41,9,17-Feb-18,01-Apr-26,Research & Development,Research Scientist,Yes,Rarely,Yes,Female,Single,Marketing,4,115063,6,17,Project Management,Internal,Failed,269.39,1,3,3
EMP0050,22-Mar-20,14-Sep-74,52,6,29-Aug-24,05-Dec-24,Sales,Area Sales Manager,No,Rarely,Yes,Male,Divorced,Other,3,55320,7,24,Leadership Development,Internal,Failed,626.49,3,4,4
EMP0051,07-Apr-17,03-Oct-78,48,9,11-Feb-26,23-Oct-25,Human Resources,Healthcare Representative,No,Rarely,No,Female,Married,Human Resources,4,78984,1,5,Communication Skills,Internal,Completed,536.09,5,4,3
EMP0052,11-Jul-23,21-Jun-96,30,2,19-Nov-24,08-Jun-26,Research & Development,Research Scientist,No,Travel,Yes,Female,Single,Medical,3,32847,6,22,Communication Skills,External,Failed,567.28,5,3,3
EMP0053,27-Mar-21,15-Aug-00,26,5,14-Apr-21,14-May-25,Human Resources,Healthcare Representative,No,Frequently,No,Female,Married,Life Sciences,4,59407,6,23,Customer Service,Internal,Incomplete,221.02,4,4,4
EMP0054,03-Mar-25,12-Sep-61,65,1,24-Mar-25,06-Jul-24,Research & Development,Laboratory Technician,No,Travel,No,Male,Single,Technical Degree,2,62456,2,10,Leadership Development,Internal,Passed,565.53,3,4,5
EMP0055,08-Mar-23,21-Sep-96,30,3,10-Jun-26,03-Feb-25,Research & Development,Research Director,No,Rarely,No,Male,Single,Technical Degree,1,74456,6,7,Project Management,Internal,Incomplete,144.53,3,2,3
EMP0056,25-Aug-18,25-Mar-67,59,7,24-May-26,07-Feb-26,Human Resources,HR Manager,No,Travel,No,Male,Single,Human Resources,2,30000,2,13,Project Management,External,Passed,893.38,5,2,4
EMP0057,21-Apr-23,17-Jul-96,30,3,19-Dec-25,08-Nov-24,Sales,Sales Manager,Yes,Rarely,Yes,Male,Single,Human Resources,5,68322,6,28,Technical Skills,External,Failed,408.92,4,4,2
EMP0058,20-Dec-22,17-Feb-01,25,3,24-Apr-26,10-Dec-24,Sales,Area Sales Manager,No,Rarely,No,Male,Single,Technical Degree,2,42005,6,7,Project Management,External,Failed,870.7,3,4,4
EMP0059,13-Sep-19,06-May-95,31,6,08-Jun-21,09-Jun-25,Sales,Sales Manager,Yes,Rarely,No,Female,Married,Other,4,71486,7,15,Communication Skills,Internal,Passed,731.49,3,5,5
EMP0060,27-Dec-20,23-Jun-94,32,5,26-Jan-23,05-Jul-25,Sales,Area Sales Manager,No,Rarely,No,Female,Married,Technical Degree,2,44273,7,17,Project Management,Internal,Passed,789.56,5,3,1
EMP0061,07-Aug-16,17-Jun-90,36,9,30-Mar-25,13-Jul-24,Research & Development,Manufacturing Director,No,Rarely,No,Male,Married,Life Sciences,2,47890,2,23,Communication Skills,Internal,Passed,383.09,5,4,3
EMP0062,02-Nov-18,09-Feb-86,40,7,03-Nov-19,05-Aug-25,Sales,Sales Executive,No,Rarely,No,Female,Single,Human Resources,4,59527,1,27,Communication Skills,Internal,Completed,304.97,4,2,2
EMP0063,28-Jun-20,18-Nov-92,34,5,12-Apr-23,27-Apr-25,Research & Development,Manufacturing Director,No,Rarely,No,Female,Single,Medical,4,43953,4,3,Leadership Development,External,Passed,466.07,4,5,4
EMP0064,31-Aug-18,21-Mar-87,39,7,06-Jun-20,16-Apr-26,Research & Development,Laboratory Technician,No,Rarely,No,Male,Married,Human Resources,5,55489,5,5,Project Management,Internal,Incomplete,121.8,1,4,4
EMP0065,14-May-25,18-Oct-85,41,1,24-Jan-26,02-Sep-24,Sales,Sales Executive,No,Rarely,No,Male,Married,Other,5,41132,5,10,Leadership Development,Internal,Passed,926.88,4,4,2
EMP0066,06-Jul-23,21-Sep-99,27,2,09-Jan-24,18-Aug-24,Research & Development,Laboratory Technician,Yes,Rarely,Yes,Female,Single,Technical Degree,4,30000,2,5,Communication Skills,External,Incomplete,448.31,4,2,2
EMP0067,20-Jan-21,19-Oct-94,32,5,24-Nov-24,11-Mar-26,Sales,Sales Representative,No,Rarely,No,Female,Divorced,Technical Degree,4,85359,1,24,Project Management,Internal,Passed,989.7,1,1,5
EMP0068,05-Dec-19,22-Mar-95,31,6,21-Sep-23,02-Jun-25,Research & Development,Research Scientist,No,Frequently,No,Male,Married,Marketing,4,39079,7,7,Project Management,External,Passed,785.3,5,4,4
EMP0069,10-Apr-22,20-Dec-65,61,4,11-Oct-25,11-Dec-24,Sales,Area Sales Manager,No,Frequently,Yes,Male,Divorced,Marketing,3,61426,7,7,Leadership Development,Internal,Passed,172.46,5,2,4
EMP0070,03-Apr-16,02-Oct-83,43,10,04-Dec-16,28-Jun-25,Human Resources,Recruiter,No,Rarely,No,Male,Married,Marketing,5,80057,4,22,Leadership Development,Internal,Incomplete,694.17,2,2,5
EMP0071,20-Feb-20,02-Feb-03,23,6,21-Oct-20,21-Mar-26,Research & Development,Research Scientist,No,Rarely,No,Male,Single,Technical Degree,4,52701,3,23,Communication Skills,Internal,Failed,343.76,5,2,3
EMP0072,20-Sep-15,09-Oct-63,63,10,15-Sep-19,26-Feb-25,Sales,Sales Executive,No,Rarely,No,Male,Married,Human Resources,4,48496,7,14,Communication Skills,External,Passed,319.35,4,2,5
EMP0073,28-Jan-22,25-Apr-63,63,4,09-Sep-25,19-Aug-25,Sales,Sales Manager,No,Frequently,No,Male,Single,Technical Degree,3,69524,2,23,Project Management,Internal,Passed,330.91,4,4,5
EMP0074,31-Dec-23,20-Jul-68,58,2,05-Jun-24,17-Aug-24,Research & Development,Research Director,No,Rarely,No,Male,Married,Life Sciences,1,87358,3,15,Project Management,Internal,Passed,924.47,5,3,3
EMP0075,02-Jan-21,16-Jan-64,62,5,08-Dec-24,16-Nov-25,Research & Development,Research Director,No,Rarely,Yes,Female,Single,Marketing,5,41613,5,5,Customer Service,Internal,Failed,549.98,3,3,4
EMP0076,26-Jun-16,10-Sep-64,62,9,01-Jul-22,13-Dec-25,Research & Development,Manufacturing Director,No,Rarely,No,Male,Divorced,Human Resources,3,61997,5,5,Customer Service,External,Passed,702.52,4,3,4
EMP0077,25-Sep-19,16-May-63,63,6,07-Dec-20,21-Nov-24,Research & Development,Laboratory Technician,No,Rarely,Yes,Female,Single,Marketing,4,30350,7,4,Technical Skills,External,Completed,352.85,3,5,5
EMP0078,21-Jan-22,13-Nov-89,37,4,05-Oct-22,02-May-26,Sales,Sales Manager,Yes,Rarely,Yes,Female,Divorced,Technical Degree,2,57135,4,20,Communication Skills,Internal,Failed,570.66,4,5,3
EMP0079,08-Oct-19,03-Aug-85,41,6,28-Mar-25,14-May-25,Research & Development,Research Scientist,No,Frequently,No,Male,Divorced,Human Resources,5,65684,4,21,Technical Skills,Internal,Incomplete,415.09,3,4,4
EMP0080,13-Mar-26,15-Mar-01,25,0,11-Apr-26,04-Aug-24,Sales,Sales Manager,Yes,Rarely,Yes,Male,Married,Technical Degree,1,47907,3,26,Technical Skills,External,Failed,389.03,2,4,5
EMP0081,16-Nov-23,15-Aug-78,48,2,05-Oct-24,28-Nov-25,Research & Development,Research Director,No,Rarely,No,Male,Married,Marketing,5,55860,7,9,Leadership Development,External,Passed,322.27,3,3,5
EMP0082,16-Apr-25,20-Jun-91,35,1,26-Jan-26,09-Aug-25,Research & Development,Research Director,Yes,Frequently,Yes,Female,Married,Other,2,36835,5,27,Leadership Development,External,Incomplete,468.11,2,4,5
EMP0083,16-Mar-18,28-Jun-95,31,8,07-Jun-25,29-Jun-24,Sales,Area Sales Manager,No,Frequently,Yes,Male,Divorced,Life Sciences,5,66541,4,12,Customer Service,Internal,Passed,694.03,2,4,4
EMP0084,09-Dec-20,28-Dec-84,42,5,07-Mar-25,08-May-25,Sales,Sales Representative,No,Rarely,No,Male,Married,Other,4,86113,4,16,Technical Skills,Internal,Failed,299.84,2,4,5
EMP0085,17-Feb-18,05-Jul-82,44,8,09-Jan-22,22-Feb-26,Sales,Sales Executive,Yes,Rarely,No,Male,Married,Life Sciences,3,43057,5,22,Customer Service,External,Completed,968.9,4,3,3
EMP0086,13-Jul-20,18-Sep-81,45,5,13-Jun-25,04-Sep-24,Sales,Sales Representative,No,Rarely,No,Female,Married,Life Sciences,4,52546,7,8,Communication Skills,External,Passed,212.15,5,4,4
EMP0087,22-Nov-20,08-Jun-98,28,5,01-Jan-25,06-Jul-24,Research & Development,Laboratory Technician,No,Travel,No,Female,Widowed,Other,3,75050,5,9,Project Management,External,Passed,532.19,5,5,4
EMP0088,10-Aug-24,09-Feb-75,51,1,23-Feb-25,09-Jun-25,Research & Development,Manufacturing Director,No,Rarely,No,Male,Married,Medical,3,89241,1,12,Leadership Development,Internal,Passed,176.53,5,5,4
EMP0089,16-Dec-23,05-Apr-76,50,2,06-Jan-24,29-Jan-25,Research & Development,Manufacturing Director,Yes,Travel,No,Female,Married,Human Resources,5,35136,6,20,Communication Skills,External,Passed,120.4,5,4,2
EMP0090,13-Feb-23,10-Jan-98,28,3,27-Mar-25,17-Mar-26,Research & Development,Manufacturing Director,No,Rarely,Yes,Male,Married,Human Resources,4,61624,4,28,Communication Skills,External,Passed,930.41,1,3,4
EMP0091,02-Dec-19,14-Oct-80,46,6,08-Dec-23,02-Sep-24,Sales,Area Sales Manager,No,Rarely,No,Male,Divorced,Other,3,70662,3,29,Leadership Development,External,Passed,829.35,4,3,2
EMP0092,07-Feb-18,27-Mar-89,37,8,24-Mar-26,20-Mar-25,Research & Development,Laboratory Technician,Yes,Rarely,No,Female,Married,Other,3,62958,7,7,Leadership Development,Internal,Passed,724.74,4,5,3
EMP0093,25-Jan-26,24-Oct-84,42,0,28-Feb-26,29-Nov-25,Research & Development,Research Director,Yes,Rarely,Yes,Female,Single,Medical,3,30000,2,21,Technical Skills,External,Completed,878.67,2,2,3
EMP0094,14-Jan-17,25-Apr-84,42,9,06-Nov-19,19-Jan-26,Research & Development,Laboratory Technician,No,Rarely,Yes,Female,Married,Human Resources,5,75021,2,4,Customer Service,External,Failed,822.56,4,4,5
EMP0095,21-Jan-16,17-Aug-94,32,10,17-Feb-26,06-May-26,Research & Development,Research Scientist,No,Rarely,No,Male,Widowed,Life Sciences,3,95386,5,28,Communication Skills,External,Failed,682.51,3,3,3
EMP0096,17-Jun-17,10-Aug-75,51,8,25-Nov-17,26-Nov-25,Research & Development,Manufacturing Director,No,Rarely,No,Female,Married,Marketing,5,67333,6,23,Technical Skills,External,Failed,862.61,5,4,5
EMP0097,06-Jun-18,03-Jan-73,53,8,14-Nov-23,17-May-26,Research & Development,Manufacturing Director,No,Travel,Yes,Male,Divorced,Human Resources,5,44377,7,3,Technical Skills,External,Completed,451.72,4,4,2
EMP0098,03-Aug-18,15-Sep-79,47,7,30-Jun-23,12-Oct-24,Research & Development,Research Scientist,No,Rarely,No,Male,Single,Marketing,2,54737,7,1,Communication Skills,External,Incomplete,597.48,5,5,4
EMP0099,20-Jun-24,19-Apr-89,37,1,13-Jan-26,10-Oct-25,Sales,Sales Executive,No,Frequently,No,Male,Married,Technical Degree,3,100398,3,7,Communication Skills,Internal,Completed,798.68,2,2,4
EMP0100,04-Jun-16,02-Jan-82,44,10,24-Sep-19,27-Jan-25,Sales,Sales Manager,Yes,Rarely,Yes,Female,Married,Technical Degree,5,83199,1,9,Project Management,External,Completed,176.32,1,4,4
EMP0101,19-Aug-23,20-Aug-86,40,2,18-May-26,09-May-25,Sales,Sales Manager,No,Rarely,No,Female,Divorced,Technical Degree,3,77800,4,2,Customer Service,External,Passed,872.78,5,5,5
EMP0102,24-Jul-23,16-Nov-63,63,2,15-Aug-24,08-Apr-26,Research & Development,Research Scientist,No,Rarely,No,Male,Single,Other,1,72128,1,7,Communication Skills,Internal,Failed,241.15,1,5,4
EMP0103,01-Jul-25,01-Sep-86,40,0,17-Apr-26,05-Dec-24,Sales,Sales Manager,No,Rarely,No,Male,Divorced,Life Sciences,3,51777,7,10,Leadership Development,Internal,Failed,878.09,3,4,4
EMP0104,21-Aug-20,05-Jul-98,28,5,24-Sep-22,22-Aug-24,Research & Development,Laboratory Technician,No,Travel,No,Male,Married,Technical Degree,4,60988,3,2,Project Management,Internal,Failed,380.2,4,4,4
EMP0105,05-Apr-15,12-Dec-88,38,11,09-May-21,31-Jul-25,Human Resources,Recruiter,No,Rarely,No,Female,Single,Other,4,63441,1,13,Customer Service,External,Failed,394.1,5,5,4
EMP0106,27-Jul-17,02-Jun-79,47,8,20-Jun-21,16-Jan-25,Sales,Sales Representative,Yes,Rarely,Yes,Female,Single,Marketing,2,75991,5,29,Leadership Development,Internal,Passed,166.55,3,4,4
EMP0107,25-Dec-20,19-Jan-79,47,5,18-Oct-22,12-Dec-24,Research & Development,Laboratory Technician,No,Rarely,Yes,Male,Single,Life Sciences,2,95178,2,3,Leadership Development,External,Passed,897.31,1,4,2
EMP0108,18-Aug-22,12-Apr-69,57,3,03-Apr-25,08-Mar-25,Research & Development,Manufacturing Director,Yes,Rarely,No,Female,Married,Technical Degree,5,87366,5,13,Customer Service,External,Incomplete,257.06,4,3,5
EMP0109,02-Jul-17,03-May-69,57,8,02-Aug-20,26-May-26,Sales,Sales Representative,No,Rarely,No,Male,Single,Medical,4,36612,4,10,Project Management,External,Failed,667.04,3,1,5
EMP0110,01-Aug-21,15-Sep-80,46,4,30-Mar-26,05-May-26,Sales,Sales Executive,Yes,Frequently,Yes,Male,Single,Life Sciences,4,69479,5,12,Leadership Development,Internal,Passed,679.57,3,3,3
EMP0111,01-Oct-24,27-May-69,57,1,06-Jun-26,29-Jun-25,Sales,Sales Representative,Yes,Frequently,Yes,Female,Divorced,Human Resources,4,79735,3,26,Technical Skills,External,Passed,353.04,5,4,5
EMP0112,19-Jul-18,20-Nov-65,61,7,06-Oct-24,15-Apr-26,Sales,Sales Manager,No,Rarely,Yes,Male,Single,Technical Degree,4,77377,7,3,Customer Service,Internal,Failed,987.09,4,4,4
EMP0113,05-Mar-25,04-Mar-97,29,1,26-May-25,01-Jul-25,Human Resources,Recruiter,No,Rarely,No,Male,Single,Other,4,52415,3,28,Customer Service,Internal,Failed,157.75,5,1,4
EMP0114,27-Jan-15,26-Jun-79,47,11,13-Aug-16,29-Apr-26,Research & Development,Manufacturing Director,No,Rarely,No,Female,Married,Human Resources,3,123282,4,29,Communication Skills,External,Failed,647.08,2,5,3
EMP0115,27-Nov-20,12-Sep-83,43,5,19-Nov-23,22-Apr-25,Research & Development,Laboratory Technician,No,Rarely,No,Male,Married,Technical Degree,3,39458,4,20,Project Management,External,Passed,531.59,4,4,5
EMP0116,24-Mar-26,20-Apr-95,31,0,12-Apr-26,10-Feb-26,Research & Development,Research Scientist,Yes,Rarely,No,Female,Married,Life Sciences,4,43336,2,6,Technical Skills,Internal,Passed,320.94,5,4,4
EMP0117,03-Jan-19,17-Jul-72,54,7,17-Jan-24,07-Nov-25,Research & Development,Research Scientist,Yes,Rarely,Yes,Female,Married,Marketing,4,69671,1,3,Technical Skills,External,Passed,247.2,4,5,3
EMP0118,21-May-26,02-Jan-02,24,0,30-May-26,11-Aug-24,Sales,Sales Executive,No,Rarely,No,Female,Married,Life Sciences,5,107336,2,29,Communication Skills,Internal,Completed,763.38,2,3,4
EMP0119,21-May-17,11-Dec-96,30,9,03-May-20,28-Jul-24,Research & Development,Manufacturing Director,No,Rarely,No,Male,Married,Other,3,48276,5,25,Leadership Development,Internal,Passed,924.68,5,4,4
EMP0120,10-Sep-21,15-Sep-74,52,4,23-Sep-24,23-Dec-24,Research & Development,Manufacturing Director,No,Rarely,Yes,Male,Single,Life Sciences,5,59683,1,2,Leadership Development,External,Passed,196.79,4,4,4
EMP0121,21-May-26,17-Oct-95,31,0,01-Jun-26,27-Feb-25,Research & Development,Manufacturing Director,No,Rarely,No,Male,Single,Medical,5,86545,4,23,Technical Skills,Internal,Completed,274.58,5,4,4
EMP0122,18-Jun-19,20-Jun-96,30,6,20-Jul-24,17-Jul-24,Research & Development,Research Scientist,No,Rarely,No,Female,Married,Technical Degree,3,64642,3,22,Project Management,External,Completed,987.64,2,3,4
EMP0123,06-Jun-18,13-Mar-84,42,8,08-Jun-18,09-Dec-24,Sales,Sales Executive,No,Rarely,No,Male,Married,Medical,4,58307,5,14,Leadership Development,External,Passed,113.52,4,3,4
EMP0124,22-May-23,27-Dec-65,61,3,23-Mar-26,10-Jan-26,Sales,Sales Manager,No,Frequently,No,Female,Married,Medical,4,76312,2,15,Customer Service,External,Completed,557.43,5,4,5
EMP0125,16-Aug-18,11-Oct-85,41,7,15-Nov-22,26-Oct-24,Sales,Sales Representative,No,Rarely,No,Male,Married,Technical Degree,5,70450,7,18,Communication Skills,Internal,Incomplete,564.5,4,3,5
